,id,date,status,no2
108,9629,2020-10-03 06:00:00+00:00,FINAL,
109,9629,2020-10-03 06:30:00+00:00,FINAL,7.65
110,9629,2020-10-03 07:00:00+00:00,FINAL,
111,9629,2020-10-03 07:30:00+00:00,FINAL,8.224
112,9629,2020-10-03 08:00:00+00:00,FINAL,
113,9629,2020-10-03 08:30:00+00:00,FINAL,8.606
114,9629,2020-10-03 09:00:00+00:00,FINAL,
115,9629,2020-10-03 09:30:00+00:00,FINAL,8.033
116,9629,2020-10-03 10:00:00+00:00,FINAL,
117,9629,2020-10-03 10:30:00+00:00,FINAL,9.754
118,9629,2020-10-03 11:00:00+00:00,FINAL,
119,9629,2020-10-03 11:30:00+00:00,FINAL,22.376
120,9629,2020-10-03 12:00:00+00:00,FINAL,
121,9629,2020-10-03 12:30:00+00:00,FINAL,34.616
122,9629,2020-10-03 13:00:00+00:00,FINAL,
123,9629,2020-10-03 13:30:00+00:00,FINAL,25.245
124,9629,2020-10-03 14:00:00+00:00,FINAL,
125,9629,2020-10-03 14:30:00+00:00,FINAL,32.704
126,9629,2020-10-03 15:00:00+00:00,FINAL,
127,9629,2020-10-03 15:30:00+00:00,FINAL,35.19
128,9629,2020-10-03 16:00:00+00:00,FINAL,
129,9629,2020-10-03 16:30:00+00:00,FINAL,38.824
130,9629,2020-10-03 17:00:00+00:00,FINAL,
131,9629,2020-10-03 17:30:00+00:00,FINAL,52.02
132,9629,2020-10-03 18:00:00+00:00,FINAL,
133,9629,2020-10-03 18:30:00+00:00,FINAL,36.337
134,9629,2020-10-03 19:00:00+00:00,FINAL,
135,9629,2020-10-03 19:30:00+00:00,FINAL,32.321
136,9629,2020-10-03 20:00:00+00:00,FINAL,
137,9629,2020-10-03 20:30:00+00:00,FINAL,16.065
138,9629,2020-10-03 21:00:00+00:00,FINAL,
139,9629,2020-10-03 21:30:00+00:00,FINAL,7.841
140,9629,2020-10-03 22:00:00+00:00,FINAL,
141,9629,2020-10-03 22:30:00+00:00,FINAL,8.224
142,9629,2020-10-03 23:00:00+00:00,FINAL,
143,9629,2020-10-03 23:30:00+00:00,FINAL,6.311
144,9629,2020-10-04 00:00:00+00:00,FINAL,
145,9629,2020-10-04 00:30:00+00:00,FINAL,3.442
146,9629,2020-10-04 01:00:00+00:00,FINAL,
147,9629,2020-10-04 01:30:00+00:00,FINAL,3.634
148,9629,2020-10-04 02:00:00+00:00,FINAL,
149,9629,2020-10-04 02:30:00+00:00,FINAL,5.164
150,9629,2020-10-04 03:00:00+00:00,FINAL,
151,9629,2020-10-04 03:30:00+00:00,FINAL,4.399
152,9629,2020-10-04 04:00:00+00:00,FINAL,
153,9629,2020-10-04 04:30:00+00:00,FINAL,5.164
154,9629,2020-10-04 05:00:00+00:00,FINAL,
155,9629,2020-10-04 05:30:00+00:00,FINAL,6.885
156,9629,2020-10-04 06:00:00+00:00,FINAL,
157,9629,2020-10-04 06:30:00+00:00,FINAL,9.18
158,9629,2020-10-04 07:00:00+00:00,FINAL,
159,9629,2020-10-04 07:30:00+00:00,FINAL,8.415
160,9629,2020-10-04 08:00:00+00:00,FINAL,
161,9629,2020-10-04 08:30:00+00:00,FINAL,13.005
162,9629,2020-10-04 09:00:00+00:00,FINAL,
163,9629,2020-10-04 09:30:00+00:00,FINAL,17.404
164,9629,2020-10-04 10:00:00+00:00,FINAL,
165,9629,2020-10-04 10:30:00+00:00,FINAL,14.152
166,9629,2020-10-04 11:00:00+00:00,FINAL,
167,9629,2020-10-04 11:30:00+00:00,FINAL,14.535
168,9629,2020-10-04 12:00:00+00:00,FINAL,
169,9629,2020-10-04 12:30:00+00:00,FINAL,16.065
170,9629,2020-10-04 13:00:00+00:00,FINAL,
171,9629,2020-10-04 13:30:00+00:00,FINAL,14.726
172,9629,2020-10-04 14:00:00+00:00,FINAL,
173,9629,2020-10-04 14:30:00+00:00,FINAL,16.065
174,9629,2020-10-04 15:00:00+00:00,FINAL,
175,9629,2020-10-04 15:30:00+00:00,FINAL,23.141
176,9629,2020-10-04 16:00:00+00:00,FINAL,
177,9629,2020-10-04 16:30:00+00:00,FINAL,33.278
178,9629,2020-10-04 17:00:00+00:00,FINAL,
179,9629,2020-10-04 17:30:00+00:00,FINAL,44.944
180,9629,2020-10-04 18:00:00+00:00,FINAL,
181,9629,2020-10-04 18:30:00+00:00,FINAL,39.206
182,9629,2020-10-04 19:00:00+00:00,FINAL,
183,9629,2020-10-04 19:30:00+00:00,FINAL,26.201
184,9629,2020-10-04 20:00:00+00:00,FINAL,
